cluster,heatwave_type,exposure,log_rr,ci_low,ci_high,display_high,common_support_high,y_min,y_max,phenotype_name,axis_expansion_factor,line_segment
1,compound,2.52,-0.0980192434294987,-0.1463260671595643,-0.0497124196994332,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.548,-0.0988006560144848,-0.1474848636151488,-0.0501164484138208,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.576,-0.0995718689269918,-0.1486281840595998,-0.0505155537943837,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.604,-0.1003327700827066,-0.1497558588359382,-0.0509096813294751,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.632,-0.1010832473973166,-0.1508677183064544,-0.0512987764881789,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.66,-0.1018231905316865,-0.1519635955022164,-0.0516827855611566,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.688,-0.1025525639049942,-0.1530434369431853,-0.0520616908668032,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.716,-0.1032714332511034,-0.1541073429373173,-0.0524355235648896,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.744,-0.1039798715146473,-0.155155424742286,-0.0528043182870086,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.772,-0.1046779516402593,-0.1561877936205012,-0.0531681096600175,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.8000000000000003,-0.1053657465725727,-0.1572045608389837,-0.0535269323061617,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.828,-0.1060433292562208,-0.1582058376692489,-0.0538808208431926,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.856,-0.1067107726358369,-0.1591917353871959,-0.0542298098844778,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
